epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.08938248455524445,0.06586354970932007,0.0010000000474974513,0.9105430245399475,0.11395908892154694,0.09299628436565399,0.886115550994873
1,0.1059909462928772,0.07463527470827103,0.0010000000474974513,0.8939673900604248,0.123955637216568,0.08752045780420303,0.8761051893234253
2,0.1149994507431984,0.08006925880908966,0.0010000000474974513,0.8850571513175964,0.10585637390613556,0.08287002891302109,0.8942468166351318
3,0.1355271339416504,0.10908378660678864,0.0010000000474974513,0.864450991153717,0.19747227430343628,0.16574044525623322,0.8026424646377563
4,0.17456789314746857,0.14658403396606445,0.0010000000474974513,0.8253013491630554,0.1741468757390976,0.15067948400974274,0.8259581923484802
5,0.15276938676834106,0.11957753449678421,0.0010000000474974513,0.847284197807312,0.14496780931949615,0.10769880563020706,0.8552097082138062
6,0.1531205177307129,0.11960069090127945,0.0010000000474974513,0.8467530012130737,0.15299250185489655,0.11704691499471664,0.8471908569335938
7,0.19959457218647003,0.17408457398414612,0.0010000000474974513,0.8003854751586914,0.17466367781162262,0.1412944197654724,0.8254755139350891
8,0.2848054766654968,0.27139735221862793,0.0010000000474974513,0.7150466442108154,0.3739531636238098,0.36637020111083984,0.6261113286018372
9,0.4219847023487091,0.42131537199020386,0.0010000000474974513,0.5783311128616333,0.4636445939540863,0.46381014585494995,0.536321222782135
10,0.46385088562965393,0.4639667570590973,0.0010000000474974513,0.5362627506256104,0.4637302756309509,0.46381014585494995,0.5362356901168823
11,0.4639113247394562,0.4639664888381958,0.0010000000474974513,0.5362023115158081,0.4637656509876251,0.46381014585494995,0.5362003445625305
12,0.4640989303588867,0.4641337990760803,0.0010000000474974513,0.5361818671226501,0.46378234028816223,0.46381014585494995,0.5361834764480591
13,0.4636092483997345,0.4636327028274536,0.0010000000474974513,0.5361704230308533,0.4637901484966278,0.46381014585494995,0.5361756682395935
14,0.46394971013069153,0.4639665186405182,0.0010000000474974513,0.5361641645431519,0.46379563212394714,0.46381014585494995,0.5361703038215637
15,0.46362054347991943,0.46363264322280884,0.0010000000474974513,0.5361591577529907,0.4637998044490814,0.46381014585494995,0.5361661911010742
16,0.46395742893218994,0.4639667272567749,0.0010000000474974513,0.536156177520752,0.46380212903022766,0.46381014585494995,0.5361636281013489
17,0.4636256694793701,0.4636329710483551,0.0005000000237487257,0.5361543297767639,0.4638034999370575,0.46381014585494995,0.5361623764038086
18,0.46379369497299194,0.4637998342514038,0.0005000000237487257,0.536153256893158,0.4638042449951172,0.46381014585494995,0.5361617207527161
19,0.46396154165267944,0.4639667570590973,0.0005000000237487257,0.5361522436141968,0.4638049602508545,0.46381014585494995,0.5361608862876892
