epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.11098381131887436,0.3233492374420166,0.0010000000474974513,1.2510112524032593,0.06656487286090851,0.35044196248054504,1.1949143409729004
1,0.11814924329519272,0.348278284072876,0.0010000000474974513,1.2208032608032227,0.06320303678512573,0.3568984866142273,1.1382862329483032
2,0.12385618686676025,0.3021499216556549,0.0010000000474974513,1.212345838546753,0.06282934546470642,0.3450140357017517,1.1333119869232178
3,0.12669038772583008,0.2631622552871704,0.0010000000474974513,1.2064743041992188,0.07450371980667114,0.1278829723596573,1.2267889976501465
4,0.135727658867836,0.17293764650821686,0.0010000000474974513,1.1941070556640625,0.07689628005027771,0.1537725180387497,1.1593118906021118
5,0.14579033851623535,0.16048744320869446,0.0010000000474974513,1.1803864240646362,0.08084499835968018,0.14618632197380066,1.1402161121368408
6,0.16021859645843506,0.16104178130626678,0.0010000000474974513,1.1557203531265259,0.06776563078165054,0.13132280111312866,1.0994151830673218
7,0.16430650651454926,0.16572682559490204,0.0010000000474974513,1.1469850540161133,0.05863090977072716,0.13011828064918518,1.091550588607788
8,0.18026499450206757,0.17893165349960327,0.0010000000474974513,1.1197593212127686,0.09714766591787338,0.10390327125787735,1.158989429473877
9,0.18584038317203522,0.18480825424194336,0.0010000000474974513,1.106734037399292,0.07402852177619934,0.13525283336639404,1.0875825881958008
10,0.19312846660614014,0.18974044919013977,0.0010000000474974513,1.0939295291900635,0.0802631676197052,0.09136348217725754,1.0909078121185303
11,0.19940277934074402,0.20669063925743103,0.0010000000474974513,1.0785800218582153,0.08377914130687714,0.13482171297073364,1.0668774843215942
12,0.20712919533252716,0.20881013572216034,0.0010000000474974513,1.066195011138916,0.05685887485742569,0.14604881405830383,1.13178551197052
13,0.20960937440395355,0.21522168815135956,0.0010000000474974513,1.0604299306869507,0.05431464686989784,0.1398146003484726,1.1181061267852783
14,0.22229714691638947,0.23295468091964722,0.0005000000237487257,1.0333608388900757,0.08173629641532898,0.0954236313700676,1.0933458805084229
15,0.22634544968605042,0.23437228798866272,0.0005000000237487257,1.0258673429489136,0.08203070610761642,0.13139112293720245,1.065869927406311
16,0.22996574640274048,0.23277980089187622,0.0005000000237487257,1.0178945064544678,0.06916173547506332,0.13324877619743347,1.0876202583312988
17,0.2327449917793274,0.24116501212120056,0.0005000000237487257,1.014616847038269,0.09006491303443909,0.1153174489736557,1.0709848403930664
18,0.23562976717948914,0.24131783843040466,0.0005000000237487257,1.0084795951843262,0.08692272007465363,0.12428606301546097,1.0556730031967163
