epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.03782835230231285,0.3589220345020294,0.0010000000474974513,1.1233851909637451,0.04747788608074188,0.05532199144363403,1.4034883975982666
1,0.0522855706512928,0.2575618028640747,0.0010000000474974513,1.084801435470581,0.0787198394536972,0.09917685389518738,1.2333416938781738
2,0.05986354127526283,0.273959755897522,0.0010000000474974513,1.0743377208709717,0.0856291726231575,0.16627442836761475,1.0605437755584717
3,0.08138760179281235,0.20286962389945984,0.0010000000474974513,1.0536963939666748,0.06122516840696335,0.15250945091247559,1.1213515996932983
4,0.08534735441207886,0.1918245404958725,0.0010000000474974513,1.0462111234664917,0.07635565847158432,0.18124054372310638,1.0760959386825562
5,0.08817708492279053,0.19285619258880615,0.0010000000474974513,1.0451990365982056,0.06690041720867157,0.29133710265159607,1.0795224905014038
6,0.09084858745336533,0.20307891070842743,0.0010000000474974513,1.0405410528182983,0.08637430518865585,0.21291987597942352,1.0456502437591553
7,0.09401752799749374,0.1873825192451477,0.0010000000474974513,1.0368014574050903,0.07394669204950333,0.1170881986618042,2.2737462520599365
8,0.09664446860551834,0.1780540496110916,0.0010000000474974513,1.0343595743179321,0.06496332585811615,0.31442323327064514,1.068491816520691
9,0.09730050712823868,0.19608919322490692,0.0010000000474974513,1.0315625667572021,0.057671159505844116,0.2113993614912033,1.5716592073440552
10,0.10064443200826645,0.17860694229602814,0.0010000000474974513,1.0276470184326172,0.07278277724981308,0.23199206590652466,1.1755192279815674
11,0.09969767183065414,0.19406209886074066,0.0010000000474974513,1.0287847518920898,0.07174599915742874,0.32791584730148315,1.0580731630325317
12,0.10575707256793976,0.1862228810787201,0.0005000000237487257,1.0192103385925293,0.09272613376379013,0.2299550622701645,1.031821608543396
13,0.10667379200458527,0.17540937662124634,0.0005000000237487257,1.0198878049850464,0.10274451971054077,0.2122679352760315,1.0291894674301147
14,0.10943880677223206,0.1812635213136673,0.0005000000237487257,1.0147998332977295,0.09268836677074432,0.2472665160894394,1.0302904844284058
15,0.10828537493944168,0.1701502501964569,0.0005000000237487257,1.0171313285827637,0.09500398486852646,0.25651511549949646,1.0247142314910889
16,0.10912018269300461,0.17838029563426971,0.0005000000237487257,1.015779733657837,0.09487869590520859,0.24908559024333954,1.0315533876419067
17,0.1107834130525589,0.16667167842388153,0.0005000000237487257,1.0147625207901,0.09377980977296829,0.22943198680877686,1.0295460224151611
18,0.11380475014448166,0.1713782399892807,0.0005000000237487257,1.009468913078308,0.09786401689052582,0.22841043770313263,1.0458714962005615
19,0.11479082703590393,0.16249440610408783,0.0002500000118743628,1.0077112913131714,0.1083393394947052,0.20341934263706207,1.0154417753219604
