epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.07134640216827393,0.358750581741333,0.0010000000474974513,1.1923896074295044,0.06145763769745827,0.1266716867685318,1.1671693325042725
1,0.09754527360200882,0.24108751118183136,0.0010000000474974513,1.1443465948104858,0.07354341447353363,0.15014663338661194,1.1720703840255737
2,0.1137014627456665,0.20622871816158295,0.0010000000474974513,1.1234509944915771,0.06531362980604172,0.1242339089512825,1.359100580215454
3,0.12251106649637222,0.20695854723453522,0.0010000000474974513,1.112178087234497,0.08473734557628632,0.16334594786167145,1.0865788459777832
4,0.1251894235610962,0.19967134296894073,0.0010000000474974513,1.1105015277862549,0.06524404883384705,0.1825975924730301,1.0871989727020264
5,0.13490606844425201,0.1761029213666916,0.0010000000474974513,1.0950781106948853,0.06910775601863861,0.2458103895187378,1.096423625946045
6,0.1358526647090912,0.18154391646385193,0.0010000000474974513,1.0932667255401611,0.07838104665279388,0.08720485121011734,1.5742506980895996
7,0.14395351707935333,0.1607912927865982,0.0010000000474974513,1.0835593938827515,0.07251887023448944,0.1918264925479889,1.0724983215332031
8,0.14710476994514465,0.1659972220659256,0.0010000000474974513,1.0782630443572998,0.07236780226230621,0.1340445876121521,1.1866908073425293
9,0.15629078447818756,0.16107968986034393,0.0005000000237487257,1.0635238885879517,0.08915980905294418,0.11081191897392273,1.0757791996002197
10,0.1592855453491211,0.15527504682540894,0.0005000000237487257,1.0592573881149292,0.10241493582725525,0.13556239008903503,1.0699670314788818
11,0.16275657713413239,0.1522313356399536,0.0005000000237487257,1.0533703565597534,0.07296958565711975,0.13216069340705872,1.1475023031234741
12,0.1671728491783142,0.15722714364528656,0.0005000000237487257,1.046244740486145,0.08696957677602768,0.15367604792118073,1.0670993328094482
13,0.16690443456172943,0.15891680121421814,0.0005000000237487257,1.045654535293579,0.07199551165103912,0.23073168098926544,1.0602192878723145
14,0.170750692486763,0.15758797526359558,0.0005000000237487257,1.039665937423706,0.09428241848945618,0.13797122240066528,1.0389022827148438
15,0.17198094725608826,0.1654113382101059,0.0005000000237487257,1.0353810787200928,0.08074712753295898,0.15870770812034607,1.0744541883468628
16,0.18094594776630402,0.16712912917137146,0.0002500000118743628,1.0210713148117065,0.09169720858335495,0.13542579114437103,1.04045569896698
17,0.18086467683315277,0.1729436069726944,0.0002500000118743628,1.0212911367416382,0.1039978414773941,0.1165020614862442,1.0358878374099731
18,0.1843324601650238,0.1727350801229477,0.0002500000118743628,1.0154008865356445,0.09742990136146545,0.12131614238023758,1.0580638647079468
19,0.18476204574108124,0.17291755974292755,0.0002500000118743628,1.0166634321212769,0.08954606205224991,0.11923077702522278,1.1101164817810059
