epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.03830072283744812,0.3704768121242523,0.0010000000474974513,1.1301171779632568,0.04453399032354355,0.3847258388996124,1.1154274940490723
1,0.04433725029230118,0.3719310462474823,0.0010000000474974513,1.0909528732299805,0.03985852748155594,0.36489173769950867,1.1088218688964844
2,0.05922376736998558,0.29476913809776306,0.0010000000474974513,1.0787512063980103,0.06125270947813988,0.3016819953918457,1.0882292985916138
3,0.06534481048583984,0.2877527177333832,0.0010000000474974513,1.0712343454360962,0.07080960273742676,0.22362038493156433,1.1646101474761963
4,0.07331709563732147,0.2648646831512451,0.0010000000474974513,1.0622254610061646,0.0739455372095108,0.16064327955245972,1.077989935874939
5,0.07416552305221558,0.2643571197986603,0.0010000000474974513,1.0588610172271729,0.06572585552930832,0.2519714832305908,1.4973068237304688
6,0.0769881010055542,0.27454087138175964,0.0010000000474974513,1.0573244094848633,0.07275712490081787,0.27984118461608887,1.0645947456359863
7,0.08223982155323029,0.23125691711902618,0.0010000000474974513,1.0493762493133545,0.07723138481378555,0.1521052122116089,1.1473101377487183
8,0.08684570342302322,0.22048914432525635,0.0010000000474974513,1.0459767580032349,0.08146219700574875,0.247858926653862,1.0697591304779053
9,0.09099462628364563,0.2153187394142151,0.0010000000474974513,1.039475679397583,0.04497895389795303,0.35105347633361816,1.1006648540496826
10,0.09216425567865372,0.21361839771270752,0.0010000000474974513,1.0386074781417847,0.09716318547725677,0.17363281548023224,1.0530933141708374
11,0.09565215557813644,0.18753685057163239,0.0010000000474974513,1.0345518589019775,0.08148866146802902,0.2589240074157715,1.044284462928772
12,0.09438425302505493,0.18757326900959015,0.0010000000474974513,1.0361008644104004,0.08978841453790665,0.16211707890033722,1.0493828058242798
13,0.09679770469665527,0.18943347036838531,0.0010000000474974513,1.0321736335754395,0.08894854038953781,0.23373812437057495,1.0434048175811768
14,0.09930581599473953,0.19292841851711273,0.0010000000474974513,1.0291646718978882,0.08858272433280945,0.21614970266819,1.0462756156921387
15,0.09955646097660065,0.190725639462471,0.0010000000474974513,1.0282460451126099,0.08418170362710953,0.24766415357589722,1.0456377267837524
16,0.10251791030168533,0.1928536742925644,0.0005000000237487257,1.0232824087142944,0.09863318502902985,0.20838430523872375,1.0300683975219727
17,0.1058506965637207,0.1835084855556488,0.0005000000237487257,1.0201908349990845,0.10488420724868774,0.2004033327102661,1.027938723564148
18,0.1053987666964531,0.1900613158941269,0.0005000000237487257,1.0196268558502197,0.07066982984542847,0.18269199132919312,1.3003649711608887
19,0.10691776871681213,0.17564697563648224,0.0005000000237487257,1.0191742181777954,0.0784030631184578,0.1750974953174591,1.1535236835479736
