epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.04252828285098076,0.38801226019859314,0.0010000000474974513,1.1154227256774902,0.009909726679325104,0.4513687491416931,1.4291664361953735
1,0.04721283167600632,0.36700648069381714,0.0010000000474974513,1.0870707035064697,0.04324213042855263,0.19383186101913452,1.1462939977645874
2,0.05765153840184212,0.293191134929657,0.0010000000474974513,1.0757516622543335,0.047745365649461746,0.32877853512763977,1.0903687477111816
3,0.06564746797084808,0.21012164652347565,0.0010000000474974513,1.0677976608276367,0.056524790823459625,0.24257168173789978,1.0936027765274048
4,0.07852870225906372,0.1662670373916626,0.0010000000474974513,1.0551363229751587,0.08022098988294601,0.17798961699008942,1.0599011182785034
5,0.08801058679819107,0.14240030944347382,0.0010000000474974513,1.0452672243118286,0.08035115897655487,0.18646639585494995,1.0492480993270874
6,0.09115486592054367,0.12492112070322037,0.0010000000474974513,1.0398869514465332,0.07565602660179138,0.26966652274131775,1.1367565393447876
7,0.09611261636018753,0.1370931714773178,0.0010000000474974513,1.0326576232910156,0.08767510205507278,0.14628547430038452,1.0521087646484375
8,0.09956476092338562,0.1256963014602661,0.0010000000474974513,1.0282403230667114,0.10218005627393723,0.14407360553741455,1.0349200963974
9,0.10680437833070755,0.12531043589115143,0.0010000000474974513,1.0198720693588257,0.09453354775905609,0.1542310267686844,1.033767580986023
10,0.10906247794628143,0.12805300951004028,0.0010000000474974513,1.0154659748077393,0.09614704549312592,0.1731632947921753,1.0210587978363037
11,0.113345205783844,0.12291736900806427,0.0010000000474974513,1.0104089975357056,0.09778060764074326,0.1732591837644577,1.0254359245300293
12,0.11924146115779877,0.13502216339111328,0.0005000000237487257,0.9990101456642151,0.1153104156255722,0.1651989370584488,1.0018110275268555
13,0.1250465363264084,0.13510139286518097,0.0005000000237487257,0.9933456182479858,0.11027375608682632,0.1808927357196808,1.000492811203003
14,0.12782175838947296,0.13688205182552338,0.0005000000237487257,0.9896051287651062,0.1036209687590599,0.2058773636817932,1.0063844919204712
15,0.13070468604564667,0.1428563892841339,0.0005000000237487257,0.9851694107055664,0.11523502320051193,0.1908203810453415,0.9968919157981873
16,0.13532797992229462,0.1404987871646881,0.0002500000118743628,0.9777254462242126,0.12062834203243256,0.18346358835697174,0.9927051067352295
17,0.14039039611816406,0.14669521152973175,0.0002500000118743628,0.9719566702842712,0.12263118475675583,0.17012177407741547,0.9884917736053467
18,0.14292316138744354,0.14411288499832153,0.0002500000118743628,0.9697886109352112,0.13465473055839539,0.15240046381950378,0.9868220686912537
19,0.14539116621017456,0.1444869190454483,0.0002500000118743628,0.9670907258987427,0.1302676498889923,0.1509157121181488,0.9921974539756775
